date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:43:09	28364/28364	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/input-masks.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/input-masks.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:09	22390/22390	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/input-tags.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/input-tags.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:10	41706/41706	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/range-sliders.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/range-sliders.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:10	25740/25740	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/wizard.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/wizard.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:11	27373/27373	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/accordion.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/accordion.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:11	24954/24954	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/accordion-icons.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/accordion-icons.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:12	24499/24499	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/accordion-arrows.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/accordion-arrows.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:12	28010/28010	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/accordion-lg.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/accordion-lg.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:15	29038/29038	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/carousel.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/carousel.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
06:43:15	37969/37969	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Sep%202020%2015:19:58%20GMT	http://bootstrap.gallery/maxwell/designs/gradient-version/modals.html	C:/My%20Web%20Sites/FreeFund/bootstrap.gallery/maxwell/designs/gradient-version/modals.html	(from http://bootstrap.gallery/maxwell/designs/gradient-version/index.html)
